,runNum,temp(K),surfOrient,Rs(ao),bubShape,lig(ao),maxPTime(ps),maxPress(bar),maxPHe,nv,reliefType
100_1500K_001_Rs2ao_sph_lig0.4ao,100,1500.0,001,2.0,sph,0.4,235.39625,116132.56143500001,76.57499999999999,68,burst
100_2000K_001_Rs4ao_sph_lig0.4ao,100,2000.0,001,4.0,sph,0.4,39.900749999999995,12433.244485499998,179.40000000000003,541,burst
100_2500K_001_Rs1ao_sph_lig0.4ao,100,2500.0,001,1.0,sph,0.4,13.56425,213150.59944499997,7.204999999999999,9,burst
101_1500K_001_Rs2ao_sph_lig0.4ao,101,1500.0,001,2.0,sph,0.4,209.20775,112533.43560000001,71.345,66,burst
101_2000K_001_Rs3ao_sph_lig0.4ao,101,2000.0,001,3.0,sph,0.4,135.74275000000003,23615.443445000008,106.64500000000007,224,burst
101_2500K_001_Rs1ao_sph_lig0.4ao,101,2500.0,001,1.0,sph,0.4,8.564250000000001,210502.87144500003,5.215000000000002,8,burst
102_1500K_001_Rs2ao_sph_lig0.4ao,102,1500.0,001,2.0,sph,0.4,171.33675,101937.865845,63.75000000000001,66,burst
102_2000K_001_Rs2ao_sph_lig0.4ao,102,2000.0,001,2.0,sph,0.4,141.13875000000002,92196.86620499998,55.724999999999966,68,burst
102_2000K_001_Rs3ao_sph_lig0.4ao,102,2000.0,001,3.0,sph,0.4,144.75225000000003,28755.559129999998,108.42500000000004,225,burst
102_2500K_001_Rs2ao_sph_lig0.4ao,102,2500.0,001,2.0,sph,0.4,143.76225000000002,105439.8452,54.24499999999999,68,burst
103_2000K_001_Rs1ao_sph_lig0.4ao,103,2000.0,001,1.0,sph,0.4,16.534750000000003,131229.774056,7.804999999999998,9,burst
103_2000K_001_Rs3ao_sph_lig0.4ao,103,2000.0,001,3.0,sph,0.4,192.97025000000002,29056.729235,119.03999999999996,228,burst
103_2000K_001_Rs4ao_sph_lig0.4ao,103,2000.0,001,4.0,sph,0.4,137.37625000000006,14758.2789305,198.83000000000004,541,burst
